Be cool.	Entspann dich!
I hired Tom.	Ich stellte Tom ein.
I knew that.	Ich wusste das.
I love rock.	Ich liebe Rock.
I loved her.	Ich habe sie geliebt.
I want that.	Ich will das.
I was bored.	Ich langweilte mich.
I won't die.	Ich werde nicht sterben.
I'm at home.	Ich bin zu Hause.
I'm dancing.	Ich tanze gerade.
Is it tasty?	Schmeckt's?
Is it yours?	Ist es Ihres?
It'll be OK.	Es wird in Ordnung gehen.
It's futile.	Es ist nutzlos.
Jump across.	Spring drüber.
Let's start.	Fangen wir an!
Memorize it.	Präg es dir ein.
She blushed.	Sie errötete.
Show him in.	Bringen Sie ihn herein.
They hugged.	Sie umarmten sich.
Tom cheated.	Tom hat betrogen.
Tom is busy.	Tom ist beschäftigt.
Tom is busy.	Tom hat zu tun.
Tom is calm.	Tom ist ruhig.
Tom is home.	Tom ist zu Hause.
Tom is lost.	Tom hat sich verirrt.
Tom paid me.	Tom bezahlte mich.
Tom sneezed.	Tom nieste.
Tom told us.	Tom hat es uns erzählt.
Tom was hot.	Tom war heiß.
Tom's alone.	Tom ist allein.
Tom's funny.	Tom ist witzig.
Turn around.	Dreh dich um.
We can wait.	Wir können warten.
We found it.	Wir haben es gefunden.
We need you.	Wir brauchen Sie.
We're crazy.	Wir sind verrückt.
We're upset.	Wir sind verärgert.
Write to me.	Schreibt mir!
You made it.	Du hast es geschafft.
You're lost.	Du hast dich verirrt.
You're nuts!	Ihr seid verrückt!
Are you bald?	Hast du eine Glatze?
Are you here?	Bist du da?
Can you swim?	Können Sie schwimmen?
Come on down.	Komm runter.
Deal with it.	Kümmern Sie sich drum!
Did Tom help?	Hat Tom geholfen?
Do I look OK?	Seh ich okay aus?
Do it anyway.	Tu’s trotzdem!
Drive faster.	Fahren Sie schneller.
Give me half.	Gib mir die Hälfte.
Good for you.	Schön für euch.
Have another.	Nimm noch eins.
He is asleep.	Er schläft.
He is eating.	Er speist.
He loves her.	Er liebt sie.
He was alone.	Er war alleine.
He was naive.	Er war töricht.
He was naive.	Er war einfältig.
He was wrong.	Er lag falsch.
He will wait.	Er wird warten.
I admire Tom.	Ich bewundere Tom.
I am Chinese.	Ich bin Chinese.
I am married.	Ich bin verheiratet.
I do my best.	Ich tue mein Bestes.
I don't mind.	Es stört mich nicht.
I have hives.	Ich habe Nesselsucht.
I like pizza.	Ich mag Pizza.
I want a hat.	Ich möchte einen Hut.
I want proof.	Ich will einen Beweis.
I'll get one.	Ich werde eins holen.
I'm studying.	Ich studiere.
I'm with him.	Ich bin bei ihm.
Is Monday OK?	Ist Montag in Ordnung?
It isn't new.	Das ist nichts Neues.
It's bizarre.	Es ist skurril.
Let Tom live.	Lass Tom am Leben!
Let's see it.	Zeig’s mal her.
Let's try it.	Lasst es uns versuchen!
Move quietly.	Bewege dich leise.
Please hurry!	Bitte beeilt euch.
Pull it open.	Zieh es auf.
She is a fox.	Sie ist ein Fuchs.
She loves us.	Sie liebt uns.
She's a babe.	Sie ist ein Hammer!
Stop gawking.	Hör auf zu glotzen.
Take it home.	Nimm es mit nach Hause.
They'll know.	Sie werden es wissen.
Tom is drunk.	Tom ist betrunken.
Tom is frank.	Tom ist aufrichtig.
Tom may sing.	Tom möge singen.
Tom met Mary.	Tom traf Maria.
Tom promised.	Tom versprach es.
Tom took off.	Tom nahm sich frei.
Tom was hurt.	Tom wurde verletzt.
Tom was slow.	Tom war langsam.
Tom's amazed.	Tom ist erstaunt.
Tom's stupid.	Tom ist blöd.
Trust no one.	Vertrauen Sie niemandem!
Try to guess.	Raten Sie mal!
Wait and see.	Abwarten und Tee trinken.
We knew this.	Das kannten wir.
Welcome home.	Willkommen zu Hause.
Who was here?	Wer war hier?
Will this do?	Wird das ausreichend sein?
Wish me luck.	Drückt mir die Daumen!
You know her.	Sie kennen sie.
You know him.	Du kennst ihn.
You look fat.	Du siehst dick aus.
You scare me.	Du beängstigst mich.
You're drunk.	Ihr seid betrunken.
You're lying!	Du lügst!
You're tough.	Du bist zäh.
Are you short?	Bist du klein?
Did Tom laugh?	Hat Tom gelacht?
Did Tom smile?	Hat Tom gelächelt?
Do you get it?	Kapierst du?
Don't give in.	Gib nicht auf!
Don't rush me.	Hetz mich nicht.
Fix the watch.	Repariere die Uhr.
Give it a try.	Versucht es doch!
Go downstairs.	Gehen Sie hinunter!
He's Austrian.	Er ist Österreicher.
Here's $10.00.	Hier sind 10,00 $.
Hold on a sec.	Augenblick mal!
I am a Muslim.	Ich bin Moslem.
I blacked out.	Ich wurde ohnmächtig.
I didn't call.	Ich habe nicht gerufen.
I exaggerated.	Ich habe übertrieben.
I have a book.	Ich habe ein Buch.
I have to win.	Ich muss gewinnen.
I like apples.	Ich mag Äpfel gerne.
I must resist.	Ich muss dagegen ankämpfen.
I volunteered.	Ich meldete mich freiwillig.
I want a pool.	Ich will ein Schwimmbecken.
I was at work.	Ich war auf der Arbeit.
I'll get help.	Ich hole Hilfe.
I'll take Tom.	Ich übernehme Tom.
I'll take one.	Ich werde eines nehmen.
I'm at school.	Ich bin in der Schule.
I'm concerned.	Ich bin besorgt.
I'm over here.	Ich bin hier drüben.
I'm uninsured.	Ich bin nicht versichert.
Is Tom coming?	Kommt Tom?
Is it serious?	Ist es etwas Ernstes?
Is it working?	Funktioniert’s?
Is there more?	Gibt es noch mehr?
It gets worse.	Sie wird schlimmer.
It looks good.	Das sieht gut aus.
It might rain.	Es könnte regnen.
It sickens me.	Es macht mich krank.
It was chilly.	Es war frostig.
It won't work.	Das geht nicht.
It works well.	Es klappt gut.
It's not here.	Es ist nicht hier.
It's unlocked.	Es ist freigeschaltet.
Just a moment.	Einen Augenblick!
Keep paddling.	Paddel weiter!
Let him do it.	Lass es ihn machen!
Let's go back.	Lass uns zurückgehen.
Let's proceed.	Lasst uns fortfahren.
Listen to Tom.	Hör auf Tom!
Lock the door!	Schließ die Tür zu!
Nobody called.	Niemand hat sich gemeldet.
Read after me.	Lese es nach mir.
Read it to me.	Lesen Sie es mir vor!
See you again.	Auf Wiedersehen!
She is crying.	Sie weint.
She's dieting.	Sie macht eine Diät.
Some fish fly.	Einige Fische fliegen.
Start running.	Beginnen Sie zu laufen.
That's a fish.	Das ist ein Fisch.
They all knew.	Sie wussten alle Bescheid.
They sat down.	Sie setzten sich.
They will die.	Sie werden sterben.
They're spies.	Das sind Spione.
They're wrong.	Die haben unrecht.
Things change.	Die Dinge ändern sich.
This is a pen.	Das ist ein Füller.
Tom called me.	Tom rief mich an.
Tom called us.	Tom hat uns gerufen.
Tom can't win.	Tom kann nicht gewinnen.
Tom felt fine.	Tom fühlte sich gut.
Tom helped us.	Tom half uns.
Tom is a cook.	Tom ist Koch.
Tom is asleep.	Tom schläft.
Tom is unkind.	Tom ist unfreundlich.
Tom is wicked.	Tom ist verrucht.
Tom went away.	Tom ging weg.
Tom went home.	Tom ging nach Hause.
Tom went nuts.	Tom drehte durch.
Tom will sing.	Tom wird singen.
Tom'll change.	Tom wird sich umziehen.
Use your feet.	Machen Sie von Ihren Füßen Gebrauch.
We can try it.	Wir können es versuchen.
We had a plan.	Wir hatten einen Plan.
We like music.	Wir mögen Musik.
We need a map.	Wir brauchen eine Karte.
We need tools.	Wir brauchen Werkzeug.
We never talk.	Wir reden nie.
We were bored.	Wir haben uns gelangweilt.
We were bored.	Uns war langweilig.
We'll do that.	Das machen wir!
We're fasting.	Wir fasten gerade.
We're lawyers.	Wir sind Rechtsanwälte.
Who does that?	Wer macht das?
Who found Tom?	Wer hat Tom gefunden?
Who found him?	Wer hat ihn gefunden.
Who found you?	Wer hat dich gefunden?
You look busy.	Du siehst beschäftigt aus.
You look sick.	Du wirkst krank.
You must stay.	Du musst hier bleiben.
You'd give up.	Du würdest aufgeben.
You're biased.	Du bist befangen.
You're joking!	Du beliebst wohl zu scherzen!
A beer, please.	Ein Bier bitte.
Am I safe here?	Bin ich hier sicher?
Apples are red.	Äpfel sind rot.
Are these ours?	Gehören die uns?
Are you coming?	Kommen Sie?
Are you hungry?	Hast du Hunger?
Can I help you?	Darf ich Ihnen helfen?
Cats are smart.	Katzen sind schlau.
Come back soon.	Komm bald zurück.
Did Tom object?	Hatte Tom etwas einzuwenden?
Did you say 30?	Sagtet ihr dreißig?
Do you hate me?	Hasst du mich?
Do you know me?	Kennst du mich?
Do you need me?	Brauchst du mich?
Don't be angry.	Sei nicht sauer.
Don't be upset.	Ärgern Sie sich nicht!
Don't break it.	Mach es nicht kaputt.
Don't touch me!	Rühr mich nicht an!
Everyone knows.	Alle wissen es.
Give it a shot.	Versuch’s doch mal!
Give me a ride.	Lasst mich mitfahren.
He also saw it.	Auch er sah es.
He is outgoing.	Er ist aufgeschlossen.
He sold us out.	Er hat uns verraten.
He's a man now.	Er ist jetzt ein Mann.
I am off today.	Ich habe heute frei.
I am too short.	Ich bin zu klein.
I betrayed you.	Ich verriet Sie.
I broke my arm.	Ich brach mir den Arm.
I deserve more.	Ich habe mehr verdient.
I followed you.	Ich bin Ihnen gefolgt.
I hailed a cab.	Ich habe ein Taxi gerufen.
I hate lawyers.	Ich hasse Juristen.
I have a table.	Ich habe einen Tisch.
I have a truck.	Ich habe einen LKW.
I have no wife.	Ich habe keine Ehefrau.
I have to wait.	Ich muss warten.
I like to hunt.	Ich gehe gern jagen.
I love cooking.	Ich liebe Kochen.
I love my home.	Ich liebe mein Zuhause.
I need a towel.	Ich brauche ein Handtuch.
I quit smoking.	Ich habe mit dem Rauchen aufgehört.
I want to quit.	Ich will kündigen.
I'll watch Tom.	Ich werde Tom beobachten.
I'm a diabetic.	Ich bin Diabetikerin.
I'm called Tom.	Ich heiße Tom.
I'm not coming.	Ich komme nicht.
I'm not crying.	Ich weine nicht.
I'm optimistic.	Ich bin ein Optimist.
I'm using this.	Ich benutze das.
Is that coffee?	Ist das Kaffee?
Is this for me?	Ist das für mich?
It's a bargain.	Abgemacht!
It's confusing.	Das verwirrt.
It's not there.	Es ist nicht da.
It's so boring.	Das ist so langweilig.
It's up to you.	Das hängt von dir ab.
It's well done.	Das geschieht dir recht.
Just sign here.	Nur hier unterschreiben.
Keep Tom quiet.	Halte Tom ruhig.
Let it go, Tom.	Lass es los, Tom!
Let me explain.	Lass mich erklären.
Mary is pretty.	Maria ist hübsch.
May I go first?	Darf ich zuerst gehen?
May I join you?	Kann ich mich euch anschließen?
Nobody listens.	Niemand hört zu.
School is over.	Die Schule ist aus.
Shall we dance?	Sollen wir tanzen?
She looked sad.	Sie sah traurig aus.
She misses him.	Er fehlt ihr.
She teased him.	Sie ärgerte ihn.
Show it to her.	Zeig sie ihr!
Show it to him.	Zeig es ihm!
Summer is over.	Der Sommer ist vorbei.
Summer is over.	Der Sommer ist vorüber.
Tell everybody.	Sag es allen.
That's a crime.	Das ist ein Verbrechen.
That's rubbish.	Das ist Quatsch.
They came back.	Sie kamen zurück.
They liked Tom.	Sie mochten Tom.
They love that.	Die lieben das.
They said that.	Sie sagten das.
Tom ate dinner.	Tom hat zu Abend gegessen.
Tom can answer.	Tom kann antworten.
Tom can't cook.	Tom kann nicht kochen.
Tom can't sing.	Tom kann nicht singen.
Tom died happy.	Tom ist glücklich gestorben.
Tom got dumped.	Tom wurde fallen gelassen.
Tom grabbed it.	Tom schnappte es sich.
Tom hit a deer.	Tom fuhr ein Reh an.
Tom is engaged.	Tom ist verlobt.
Tom is excused.	Tom ist entschuldigt.
Tom is no fool.	Tom ist kein Dummkopf.
Tom is psychic.	Tom ist übersinnlich.
Tom is relaxed.	Tom ist entspannt.
Tom is shaking.	Tom zittert.
Tom is smashed.	Tom ist betrunken.
Tom is tactful.	Tom ist taktvoll.
Tom is through.	Tom ist fertig.
Tom isn't fair.	Tom ist ungerecht.
Tom isn't lazy.	Tom ist nicht faul.
Tom likes fish.	Tom isst gerne Fisch.
Tom looks dead.	Tom sieht aus wie tot.
Tom loved Mary.	Tom liebte Maria.
Tom may change.	Tom kann sich ändern.
Tom needs work.	Tom braucht Arbeit.
Tom remembered.	Tom erinnerte sich.
Tom rushed off.	Tom eilte davon.
Tom seemed mad.	Tom schien verrückt zu sein.
Tom seems busy.	Tom ist, scheint’s, beschäftigt.
Tom slapped me.	Tom hat mich geschlagen.
Tom talks fast.	Tom spricht schnell.
Tom took notes.	Tom machte sich Notizen.
Tom tricked me.	Tom hat mich hereingelegt.
Tom wants more.	Tom will mehr.
Tom was clever.	Tom war clever.
Tom was crafty.	Tom war schlau.
Tom's bleeding.	Tom blutet.
Was Tom caught?	Ist Tom geschnappt worden?
We had to stop.	Wir mussten anhalten.
We volunteered.	Wir haben uns freiwillig gemeldet.
We were robbed.	Wir sind ausgeraubt worden.
We were wasted.	Wir waren ganz schön besoffen.
We'll call you.	Wir rufen Sie.
We'll show Tom.	Wir werden es Tom zeigen.
We've found it.	Wir haben es gefunden.
What a thought!	Was für ein Gedanke!
What are these?	Was sind diese?
What was there?	Was war da?
Where's my bag?	Wo ist meine Tasche?
Who's laughing?	Wer lacht?
Who's not busy?	Wer hat nichts zu tun?
Who's your dad?	Wer ist dein Vater?
You disgust me.	Du widerst mich an.
You have to go.	Du musst gehen.
You're useless.	Ihr seid Nichtsnutze.
You're worried.	Ihr seid besorgt.
A boat capsized.	Ein Boot kenterte.
Are my ears red?	Habe ich rote Ohren?
Are you married?	Sind Sie verheiratet?
Behave yourself.	Benimm dich.
Black suits you.	Schwarz steht dir gut.
Boston is great.	Boston ist der Hammer!
Can I trust Tom?	Kann ich Tom vertrauen?
Can I work here?	Darf ich hier arbeiten?
Can you do this?	Kannst du das machen?
Can you show me?	Können Sie es mir zeigen?
Come on in, Tom.	Komm rein, Tom.
Could you do it?	Könntest du das tun?
Did Tom succeed?	War Tom erfolgreich?
Did you do that?	Habt ihr das getan?
Did you hit Tom?	Haben Sie Tom geschlagen?
Did you like it?	Hat es dir gemundet?
Did you make it?	Haben Sie es geschafft?
Do you like tea?	Mögen Sie Tee?
Don't lie to me.	Lüg mich nicht an.
Don't lie to us.	Lüg uns nicht an!
Everyone prayed.	Alle haben gebetet.
Everyone smiled.	Ein jeder lächelte.
Everyone's busy.	Alle sind beschäftigt.
Forget about it.	Das kann man in der Pfeife rauchen.
Give Tom a call.	Rufen Sie Tom an!
He betrayed you.	Er hat dich verraten.
He came at dawn.	Er kam im Morgengrauen.
He never laughs.	Er lacht nie.
He was cheating.	Er betrog.
He was speaking.	Er sprach.
He went surfing.	Er ging wellenreiten.
He will survive.	Er wird überleben.
He writes books.	Er schreibt Bücher.
Here's the plan.	Hier ist der Plan.
How can this be?	Wie kann das sein?
How do we begin?	Wie fangen wir an?
How do you feel?	Wie fühlst du dich?
I am in trouble.	Ich sitze in der Patsche.
I do that a lot.	Ich mach das oft.
I don't see why.	Ich sehe nicht ein, warum.
I hate children.	Ich hasse Kinder.
I haven't tried.	Ich habe es nicht versucht.
I know Tom well.	Ich kenne Tom gut.
I know who I am.	Ich weiß, wer ich bin.
I like that tie.	Die Krawatte gefällt mir.
I love the idea.	Die Idee gefällt mir.
I need a bucket.	Ich brauch einen Eimer.
I need a tissue.	Ich brauche ein Taschentuch.
I paid the bill.	Ich bezahlte die Rechnung.
I put my hat on.	Ich habe meinen Hut aufgesetzt.
I saw him again.	Ich habe ihn wiedergesehen.
I trust you all.	Ich vertrau euch allen.
I understand it.	Ich verstehe es.
I want this one.	Ich will dieses.
I want to learn.	Ich will lernen.
I want to sleep.	Ich möchte schlafen.
I was on a bike.	Ich war auf einem Fahrrad.
I wish you'd go.	Ich wünschte, du gingest!
I'll defend Tom.	Ich werde Tom verteidigen.
I'll do my best.	Ich werde mein Bestes geben.
I'll go get Tom.	Ich werde Tom holen.
I'm a professor.	Ich bin eine Professorin.
I'm begging you.	Ich flehe euch an.
I'm color-blind.	Ich bin farbenfehlsichtig.
I'm not a thief.	Ich bin kein Dieb.
I'm not in love.	Ich bin nicht verliebt.
I'm not nervous.	Ich bin nicht nervös.
I'm still angry.	Ich bin immer noch wütend.
I've been wrong.	Ich hatte unrecht.
I've seen a lot.	Ich habe viel gesehen.
Is Tom infected?	Ist Tom infiziert?
Is that allowed?	Ist das erlaubt?
Is this a dream?	Ist das hier ein Traum?
It has to be me.	Das muss ich sein.
It is up to you.	Das musst du wissen!
It was painless.	Es war schmerzlos.
It's about time.	Es wird Zeit.
It's about time.	Es ist dann an der Zeit.
It's all I have.	Das ist alles, was ich habe.
Just try it out.	Probiere es einfach mal aus!
Keep me updated.	Halte mich auf dem Laufenden.
Keep the change.	Behalte das Wechselgeld.
Let Tom do that.	Lass das Tom machen.
Let's get drunk.	Betrinken wir uns!
Let's talk soon.	Lass uns bald sprechen!
Nature is cruel.	Die Natur ist grausam.
No one likes it.	Niemand mag es.
Nobody needs me.	Niemand braucht mich.
Nobody was home.	Niemand war zu Hause.
See what I mean?	Verstehst du, worauf ich hinauswill?
She deserved it.	Sie hat es verdient.
She fell asleep.	Sie schlief ein.
She stabbed him.	Sie hat ihn erstochen.
Talk to me, Tom.	Sprich mit mir, Tom!
That one's good.	Dieser da ist gut.
That was stupid.	Das war töricht.
That's doubtful.	Das ist zu bezweifeln.
That's old news.	Das ist Schnee von gestern.
That's your job.	Das ist deine Aufgabe.
The book is red.	Das Buch ist rot.
There's the rub.	Da liegt der Hase im Pfeffer!
They are pilots.	Sie sind Piloten.
They look great.	Die sehen großartig aus.
They were lucky.	Sie hatten Glück.
This is our car.	Das ist unser Auto.
This is serious.	Das ist ernst.
Those are Tom's.	Die da gehören Tom.
Those are gifts.	Das sind Geschenke.
Tom acts scared.	Tom wirkt verängstigt.
Tom also talked.	Tom redete auch.
Tom blacked out.	Tom wurde bewusstlos.
Tom deserves it.	Tom hat es verdient.
Tom disgusts me.	Tom ekelt mich an.
Tom got cheated.	Tom wurde betrogen.
Tom hugged Mary.	Tom hat Mary umarmt.
Tom is a misfit.	Tom ist ein Eigenbrötler.
Tom is cheerful.	Tom ist fröhlich.
Tom is cultured.	Tom ist kultiviert.
Tom is dejected.	Tom ist niedergeschlagen.
Tom is delicate.	Tom ist empfindlich.
Tom is generous.	Tom ist großzügig.
Tom is safe now.	Tom ist jetzt sicher.
Tom is starving.	Tom ist am Verhungern.
Tom is ticklish.	Tom ist kitzelig.
Tom is troubled.	Tom ist beunruhigt.
Tom is up there.	Tom ist da oben.
Tom is wasteful.	Tom ist verschwenderisch.
Tom is with him.	Tom ist bei ihm.
Tom isn't armed.	Tom ist nicht bewaffnet.
Tom isn't naked.	Tom ist nicht nackt.
Tom kept crying.	Tom weinte weiter.
Tom killed Mary.	Tom tötete Maria.
Tom looks happy.	Tom sieht glücklich aus.
Tom looks older.	Tom sieht älter aus.
Tom looks tense.	Tom sieht angespannt aus.
Tom never asked.	Tom hat nie gefragt.
Tom saw a ghost.	Tom sah einen Geist.
Tom sung a song.	Tom sang ein Lied.
Tom talks tough.	Tom redet taff.
Tom took a bath.	Tom nahm ein Bad.
Tom took photos.	Tom hat Fotos gemacht.
Tom trusted her.	Tom vertraute ihr.
Tom trusted you.	Tom hat dir vertraut.
Tom turned pale.	Tom wurde blass.
Tom was driving.	Tom fuhr.
Tom was elderly.	Tom war betagt.
Tom was evasive.	Tom war ausweichend.
Tom was outside.	Tom war draußen.
Tom was stunned.	Tom war verblüfft.
Tom was thirsty.	Tom war durstig.
Tom was writing.	Tom schrieb.
Tom was yelling.	Tom schrie.
Tom wasn't here.	Tom war nicht hier.
Tom wasn't neat.	Tom war nicht gepflegt.
Tom will starve.	Tom wird verhungern.
Tom will use it.	Tom wird es benützen.
Tom's my cousin.	Tom ist mein Cousin.
We are brothers.	Wir sind Brüder.
We count on you.	Wir zählen auf dich.
We left at 2:30.	Wir gingen um 2:30.
We took showers.	Wir duschten.
We were in love.	Wir waren verliebt.
We're done here.	Wir sind hier fertig.
We've got to go.	Wir müssen gehen.
We've hired Tom.	Wir haben Tom eingestellt.
What's with you?	Was ist los mit dir?
Where's the map?	Wo ist die Karte?
Why are we here?	Warum sind wir hier?
You'll miss Tom.	Du wirst Tom vermissen.
You're decisive.	Du bist entschlossen.
You're so young.	Du bist ja so jung!
You're the best.	Du bist der Beste.
You're wasteful.	Ihr seid verschwenderisch.
Your car's here.	Dein Auto ist hier.
Am I being fired?	Bin ich entlassen?
Are we all ready?	Sind wir alle so weit?
Are we in danger?	Sind wir in Gefahr?
Are you a doctor?	Sind Sie Arzt?
Are you artistic?	Bist du künstlerisch veranlagt?
Are you brothers?	Seid ihr Brüder?
Can I borrow $30?	Kann ich mir 30 Dollar leihen?
Can you find out?	Können Sie es herausfinden?
Can you spell it?	Kannst du es buchstabieren?
Do you know this?	Weißt du das?
Do you know this?	Wissen Sie das?
Do you live here?	Wohnst du hier?
Do you mind much?	Macht es dir viel aus?
Don't be so sure.	Seid euch nicht so sicher!
Don't be worried.	Sei unbesorgt!
Don't do it, Tom.	Tu es nicht, Tom.
Don't forget Tom.	Vergiss Tom nicht.
Don't make noise.	Macht keinen Lärm.
Don't smoke here.	Rauch hier nicht.
Don't talk to me.	Sprecht nicht mit mir!
Drink this juice.	Trinken Sie diesen Saft.
Drive cautiously.	Fahren Sie vorsichtig.
Get enough sleep.	Schlaf genug.
Go on and say it.	Geh, sag es.
He gave me a hug.	Er umarmte mich.
He has a Picasso.	Er hat einen Picasso.
He has a bicycle.	Er hat ein Fahrrad.
He hates carrots.	Er hasst Karotten.
He is my brother.	Er ist mein Bruder.
He is photogenic.	Er ist fotogen.
He played tennis.	Er spielte Tennis.
He turned around.	Er drehte sich um.
He was impressed.	Er war beeindruckt.
He was in France.	Er war in Frankreich.
He's not perfect.	Er ist nicht perfekt.
He's ready to go.	Er ist bereit zu gehen.
Hold on a second.	Gib mir eine Sekunde.
Hold your horses.	Nun mal langsam!
How times change.	Wie die Zeiten sich ändern.
How you've grown!	Wie groß du geworden bist!
I am not kidding.	Das meine ich ernst.
I bet it was Tom.	Ich wette, es war Tom.
I can't quit now.	Ich kann jetzt nicht aufhören.
I can't remember.	Ich erinnere mich nicht.
I can't show you.	Ich kann es dir nicht zeigen.
I could help Tom.	Ich könnte Tom helfen.
I couldn't stand.	Ich konnte nicht stehen.
I do what I want.	Ich tue, was ich will.
I don't eat much.	Ich esse nicht viel.
I don't know her.	Ich kenne sie nicht.
I don't mean you.	Ich meine dich nicht.
I feel safe here.	Hier fühle ich mich sicher.
I get up at 7:00.	Ich stehe um sieben auf.
I got up at 6:30.	Ich bin um 6.30 Uhr aufgestanden.
I have my orders.	Ich habe meine Anweisungen.
I have no future.	Ich habe keine Zukunft.
I have to go now.	Ich muss jetzt gehen.
I hit a home run.	Ich erzielte einen Home Run.
I know it myself.	Ich weiß es selbst.
I know that, Tom.	Das weiß ich, Tom.
I know what's up.	Ich weiß, was los ist.
I like chocolate.	Ich mag Schokolade.
I like traveling.	Ich reise gerne.
I lost 30 pounds.	Ich habe 30 Pfund abgenommen.
I saw the doctor.	Ich war beim Arzt.
I was just angry.	Ich war nur verärgert.
I washed my feet.	Ich wusch meine Füße.
I work on Sunday.	Ich arbeite am Sonntag.
I'd be delighted.	Ich würde mich sehr freuen.
I'll be with Tom.	Ich werde mit Tom zusammen sein.
I'll see to that.	Ich werde dafür sorgen.
I'm Tom's mentor.	Ich bin Toms Mentor.
I'm ambidextrous.	Ich bin Beidhänderin.
I'm being honest.	Ich bin ehrlich.
I'm inviting you.	Ich lade dich ein.
I'm not her type.	Ich bin nicht ihr Typ.
I'm not watching.	Ich schaue nicht.
I'm your partner.	Ich bin Ihr Partner.
I'm your servant.	Ich bin dein Diener.
Is this for sale?	Ist das verkäuflich?
Is your dad here?	Ist dein Vater hier?
It is pitch dark.	Es ist stockfinster.
It was his fault.	Es war seine Schuld.
It was too small.	Es war zu klein.
It's clearing up.	Es klart auf.
It's magnificent.	Es ist wunderbar.
It's not from me.	Das ist nicht von mir.
It's rather cold.	Es ist ziemlich kalt.
Leave this to me.	Lassen Sie mich nur machen.
Let go of my arm.	Lass meinen Arm los.
Let me repair it.	Lassen Sie mich es reparieren.
Let's follow Tom.	Lass uns Tom folgen.
Let's play house.	Lasst uns „Vater, Mutter, Kind“ spielen!
Mary, I love you.	Maria, ich liebe dich!
May I call later?	Darf ich nachher anrufen?
Maybe it'll snow.	Vielleicht schneit es.
My car is German.	Ich habe einen deutschen Wagen.
My mouth was dry.	Mein Mund war trocken.
No one was there.	Es war niemand da.
Nobody will know.	Niemand wird's erfahren.
Please be gentle.	Sei bitte behutsam.
Please come here.	Bitte kommen Sie her.
Please follow me.	Folgen Sie mir bitte.
Put the gun down.	Leg die Waffe nieder!
She is an expert.	Sie ist vom Fach.
She quit smoking.	Sie hörte mit dem Rauchen auf.
She startled him.	Sie erschreckte ihn.
She was promoted.	Sie wurde befördert.
Sorry about that.	Tut mir leid deswegen.
Stay for a while.	Bleib ein Weilchen.
Thank Tom for me.	Danke Tom für mich.
That bag is mine.	Das ist meine Tasche.
That didn't work.	Das hat nicht funktioniert.
That's a promise.	Das ist ein Versprechen.
That's dangerous.	Das ist gefährlich.
That's hilarious.	Das ist irrsinnig witzig.
That's up to Tom.	Das liegt an Tom.
