AdjRatioFeature	AdvRatioFeature	ArtRatioFeature	CardRatioFeature	ConjRatioFeature	EndingAble	EndingAl	EndingFul	EndingIble	EndingIc	EndingIve	EndingLess	EndingLy	EndingOus	NRatioFeature	NrofChars	NrofSentences	NrofTokens	NrofTokensPerSentence	ORatioFeature	PpRatioFeature	PrRatioFeature	PronounRatioHe	PronounRatioI	PronounRatioIt	PronounRatioShe	PronounRatioThey	PronounRatioUs	PronounRatioWe	PronounRatioYou	PuncRatioFeature	QuestionRatio	TokLenRatio	TypeTokenRatio	VRatioFeature	avgNumCharsSent	avgNumCharsToken	nrOfCommas	standardDevCharsPerSentence	standardDevCharsPerToken	standardDevTokensPerSentence	outcome
0.058228	0.060759	0.098734	0.01519	0.058228	103	21.73913	0.0	0.0	0.0	0.0	21.73913	0.0	12.5	0.0	0.210127	2060.0	1.0	395.0	395.0	0.0	0.177215	0.108861	0.0	0.0	0.023256	0.023256	0.093023	0.0	0.0	0.488372	0.0	0.0	1.0	0.427848	0.212658	2060.0	4.222785	0.0	0.0	2.147943	0.0	9
0.099291	0.049645	0.049645	0.0	0.028369	1040	7.142857	28.571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.269504	777.0	1.0	141.0	141.0	0.0	0.177305	0.134752	0.0	0.105263	0.0	0.0	0.210526	0.0	0.0	0.263158	0.0	0.0	1.0	0.624113	0.191489	777.0	4.51773	0.0	0.0	2.217285	0.0	6
0.030769	0.061538	0.116923	0.0	0.061538	1041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.196923	1577.0	1.0	325.0	325.0	0.0	0.227692	0.098462	0.0	0.15625	0.28125	0.0	0.1875	0.0	0.0	0.28125	0.0	0.0	1.0	0.344615	0.206154	1577.0	3.858462	0.0	0.0	1.767649	0.0	6
0.044248	0.038348	0.097345	0.00885	0.047198	1042	0.0	0.0	0.0	0.0	0.0	13.333333	0.0	30.769231	0.0	0.286136	1885.0	1.0	339.0	339.0	0.0	0.185841	0.076696	0.0	0.192308	0.115385	0.0	0.307692	0.0	0.0	0.076923	0.0	0.0	1.0	0.439528	0.215339	1885.0	4.560472	0.0	0.0	2.537919	0.0	8
0.064236	0.076389	0.078125	0.003472	0.041667	1043	2.702703	8.108108	8.108108	0.0	0.0	0.0	0.0	6.818182	0.0	0.223958	3023.0	1.0	576.0	576.0	0.0	0.173611	0.095486	0.0	0.327273	0.090909	0.0	0.018182	0.0	0.0	0.327273	0.001736	0.0	1.0	0.392361	0.241319	3023.0	4.26087	0.0	0.0	2.176103	0.0	9
0.067669	0.06391	0.075188	0.003759	0.048872	1044	5.555556	0.0	0.0	0.0	0.0	0.0	5.555556	5.882353	0.0	0.236842	1381.0	1.0	266.0	266.0	0.0	0.150376	0.090226	0.0	0.166667	0.041667	0.0	0.041667	0.0	0.0	0.583333	0.0	0.0	1.0	0.496241	0.263158	1380.0	4.218045	0.0	0.0	2.119861	0.0	7
0.071023	0.048295	0.088068	0.0	0.0	1045	0.0	4.0	0.0	0.0	0.0	12.0	0.0	23.529412	4.0	0.301136	1878.0	1.0	352.0	352.0	0.0	0.164773	0.119318	0.0	0.071429	0.02381	0.119048	0.166667	0.0	0.02381	0.214286	0.005682	0.0	1.0	0.534091	0.201705	1878.0	4.304843	0.0	0.0	2.198408	0.0	9
0.066066	0.081081	0.078078	0.009009	0.033033	1046	0.0	4.545455	13.636364	0.0	4.545455	0.0	0.0	14.814815	0.0	0.249249	1796.0	1.0	333.0	333.0	0.0	0.15015	0.123123	0.0	0.02439	0.04878	0.02439	0.0	0.04878	0.0	0.585366	0.0	0.0	1.0	0.471471	0.21021	1796.0	4.399399	0.0	0.0	2.197378	0.0	9
0.094092	0.052516	0.094092	0.013129	0.030635	1047	2.325581	16.27907	0.0	0.0	0.0	2.325581	0.0	29.166667	0.0	0.262582	2674.0	1.0	457.0	457.0	0.0	0.153173	0.065646	0.033333	0.3	0.0	0.0	0.133333	0.0	0.166667	0.033333	0.004376	0.0	1.0	0.509847	0.229759	2674.0	4.843956	0.0	0.0	2.512352	0.0	11
0.081395	0.071705	0.073643	0.011628	0.05814	1048	0.0	19.047619	0.0	0.0	0.0	0.0	2.380952	13.513514	2.380952	0.24031	2758.0	1.0	516.0	516.0	0.0	0.116279	0.114341	0.0	0.084746	0.016949	0.0	0.169492	0.0	0.016949	0.372881	0.0	0.0	1.0	0.424419	0.232558	2758.0	4.362403	0.0	0.0	2.205187	0.0	10
0.057592	0.064572	0.09075	0.001745	0.050611	1049	3.030303	3.030303	0.0	0.0	0.0	12.121212	0.0	16.216216	3.030303	0.212914	3016.0	1.0	573.0	573.0	0.0	0.155323	0.118674	0.0	0.102941	0.0	0.0	0.058824	0.088235	0.014706	0.397059	0.0	0.0	1.0	0.397906	0.247818	3016.0	4.275742	0.0	0.0	2.212306	0.0	10
0.036946	0.066502	0.076355	0.002463	0.039409	104	0.0	0.0	6.666667	0.0	0.0	33.333333	0.0	18.518519	0.0	0.241379	2196.0	1.0	406.0	406.0	0.0	0.169951	0.096059	0.0	0.076923	0.128205	0.0	0.0	0.0	0.0	0.564103	0.0	0.0	1.0	0.381773	0.270936	2196.0	4.423645	0.0	0.0	2.365148	0.0	10
0.06679	0.074212	0.107607	0.014842	0.050093	1050	5.555556	8.333333	8.333333	0.0	5.555556	5.555556	0.0	20.0	2.777778	0.269017	3051.0	1.0	539.0	539.0	0.0	0.109462	0.102041	0.0	0.036364	0.036364	0.090909	0.0	0.036364	0.0	0.345455	0.0	0.0	1.0	0.506494	0.205937	3051.0	4.664193	0.0	0.0	2.43514	0.0	11
0.039344	0.042623	0.055738	0.0	0.045902	1051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193443	1527.0	1.0	305.0	305.0	0.009836	0.206557	0.157377	0.0	0.0625	0.104167	0.0	0.041667	0.020833	0.145833	0.375	0.0	0.0	1.0	0.4	0.24918	1527.0	4.045902	0.0	0.0	2.041662	0.0	7
0.0625	0.075	0.095	0.0	0.0125	1052	12.0	16.0	0.0	0.0	0.0	4.0	0.0	23.333333	0.0	0.2125	2146.0	1.0	400.0	400.0	0.0	0.19	0.0975	0.0	0.025641	0.102564	0.0	0.205128	0.0	0.0	0.435897	0.0025	0.0	1.0	0.41	0.2525	2146.0	4.385	0.0	0.0	2.378398	0.0	9
0.0925	0.07	0.0775	0.0025	0.025	1053	2.702703	5.405405	0.0	0.0	0.0	2.702703	18.918919	7.142857	2.702703	0.2375	2138.0	1.0	400.0	400.0	0.0	0.1575	0.115	0.0	0.065217	0.086957	0.0	0.130435	0.0	0.0	0.347826	0.0	0.0	1.0	0.4075	0.2225	2138.0	4.36	0.0	0.0	2.108412	0.0	9
0.058366	0.058366	0.077821	0.0	0.035019	1054	0.0	6.666667	6.666667	0.0	6.666667	0.0	0.0	13.333333	0.0	0.2607	1363.0	1.0	257.0	257.0	0.0	0.178988	0.11284	0.0	0.37931	0.068966	0.0	0.034483	0.034483	0.068966	0.137931	0.0	0.0	1.0	0.599222	0.217899	1363.0	4.307393	0.0	0.0	2.46115	0.0	8
0.072973	0.072973	0.064865	0.008108	0.07027	1055	0.0	3.703704	0.0	0.0	0.0	0.0	0.0	14.814815	0.0	0.210811	1798.0	1.0	370.0	370.0	0.0	0.151351	0.124324	0.043478	0.152174	0.152174	0.0	0.065217	0.0	0.0	0.195652	0.0	0.0	1.0	0.5	0.221622	1798.0	3.867568	0.0	0.0	1.890596	0.0	8
0.053398	0.053398	0.063107	0.0	0.014563	1056	9.090909	0.0	9.090909	0.0	0.0	0.0	0.0	0.0	0.0	0.23301	1103.0	1.0	206.0	206.0	0.0	0.174757	0.121359	0.0	0.0	0.16	0.0	0.04	0.0	0.0	0.52	0.004854	0.0	1.0	0.621359	0.281553	1103.0	4.321951	0.0	0.0	2.162599	0.0	6
0.081028	0.065217	0.055336	0.0	0.029644	1057	0.0	9.756098	2.439024	0.0	2.439024	0.0	0.0	21.212121	0.0	0.187747	2672.0	1.0	506.0	506.0	0.0	0.173913	0.162055	0.0	0.231707	0.04878	0.0	0.012195	0.012195	0.012195	0.426829	0.0	0.0	1.0	0.389328	0.245059	2672.0	4.286561	0.0	0.0	2.214509	0.0	10
0.069444	0.072222	0.061111	0.002778	0.044444	1058	0.0	8.0	0.0	0.0	0.0	0.0	0.0	7.692308	0.0	0.211111	1921.0	1.0	360.0	360.0	0.002778	0.188889	0.113889	0.0	0.097561	0.121951	0.0	0.073171	0.0	0.02439	0.463415	0.0	0.0	1.0	0.388889	0.233333	1921.0	4.338889	0.0	0.0	2.302568	0.0	8
0.052632	0.097166	0.08502	0.0	0.036437	1059	7.692308	0.0	0.0	0.0	0.0	7.692308	0.0	25.0	0.0	0.190283	1315.0	1.0	247.0	247.0	0.0	0.137652	0.117409	0.0	0.103448	0.034483	0.0	0.689655	0.0	0.034483	0.0	0.0	0.0	1.0	0.421053	0.283401	1315.0	4.336032	0.0	0.0	2.080475	0.0	8
0.058608	0.080586	0.082418	0.001832	0.064103	105	0.0	0.0	0.0	6.25	6.25	0.0	0.0	9.090909	0.0	0.225275	2761.0	1.0	546.0	546.0	0.0	0.135531	0.120879	0.0	0.0	0.0	0.0	0.045455	0.015152	0.015152	0.590909	0.001832	0.0	1.0	0.364469	0.228938	2761.0	4.073394	0.0	0.0	1.888188	0.0	9
0.083636	0.069091	0.054545	0.0	0.047273	1060	0.0	4.347826	0.0	0.0	0.0	0.0	21.73913	10.526316	0.0	0.236364	1429.0	1.0	275.0	275.0	0.0	0.16	0.112727	0.0	0.129032	0.258065	0.032258	0.129032	0.0	0.0	0.193548	0.007273	0.0	1.0	0.461818	0.229091	1429.0	4.229927	0.0	0.0	2.011386	0.0	8
0.060606	0.050505	0.10101	0.0	0.030303	1061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.242424	1972.0	1.0	396.0	396.0	0.0	0.181818	0.118687	0.0	0.12766	0.0	0.0	0.276596	0.0	0.0	0.148936	0.0	0.0	1.0	0.368687	0.214646	1972.0	3.989899	0.0	0.0	1.82156	0.0	8
0.045584	0.059829	0.116809	0.0	0.025641	1062	6.25	0.0	6.25	0.0	0.0	0.0	0.0	14.285714	0.0	0.190883	1772.0	1.0	351.0	351.0	0.0	0.173789	0.128205	0.0	0.155556	0.044444	0.044444	0.066667	0.133333	0.155556	0.133333	0.002849	0.0	1.0	0.424501	0.253561	1772.0	4.057143	0.0	0.0	2.12929	0.0	10
0.064378	0.060086	0.107296	0.004292	0.040773	1063	0.0	3.333333	6.666667	3.333333	0.0	0.0	3.333333	14.285714	0.0	0.236052	2386.0	1.0	466.0	466.0	0.0	0.143777	0.120172	0.017857	0.089286	0.142857	0.0	0.035714	0.0	0.0	0.339286	0.0	0.0	1.0	0.469957	0.223176	2386.0	4.137339	0.0	0.0	2.138554	0.0	10
